log_id,worker_id,expected_paise,paid_paise,discrepancy_paise,needs_manual_review,review_reason,confidence
L00201,ESCALATE,0,0,0,True,UNRESOLVED_WORKER,0.0
L00202,ESCALATE,0,0,0,True,UNRESOLVED_WORKER,0.0
L00035,W0033,441000,441000,0,False,,1.0
L00172,W0134,196000,364000,0,False,,1.0
L00065,W0058,250250,250250,0,False,,1.0
L00077,W0069,160000,160000,0,False,,1.0
L00107,W0089,154000,532000,0,False,,1.0
L00028,W0026,172000,172000,0,False,,1.0
L00199,W0159,292714,0,-292714,True,UNDERPAID,0.75
L00119,W0093,272000,662000,0,False,,1.0
L00031,W0029,433500,433500,0,False,,1.0
L00174,W0135,210000,402000,0,False,,1.0
L00033,W0031,245000,245000,0,False,,1.0
L00027,W0025,294000,294000,0,False,,1.0
L00081,W0072,250250,577500,0,False,,1.0
L00114,W0091,196000,588000,0,False,,1.0
L00020,W0018,247682,247682,0,False,,1.0
L00157,W0120,221000,221000,-210000,True,UNDERPAID,0.75
L00088,W0078,255000,255000,0,False,,1.0
L00102,W0086,364000,634000,0,False,,1.0
L00144,W0108,180000,337500,0,False,,1.0
L00067,W0060,336000,336000,0,False,,1.0
L00080,W0072,327250,577500,0,False,,1.0
L00002,W0002,294000,294000,0,False,,1.0
L00034,W0032,231000,231000,0,False,,1.0
L00024,W0022,126000,126000,0,False,,1.0
L00004,W0003,150000,371000,0,False,,1.0
L00058,W0052,292714,540396,0,False,,1.0
L00189,W0149,337747,337748,1,True,OVERPAID,0.75
L00053,W0048,332500,332500,0,False,,1.0
L00054,W0049,279500,666500,0,False,,1.0
L00074,W0066,382500,382500,0,False,,1.0
L00095,W0083,337500,675500,0,False,,1.0
L00014,W0012,193500,193500,0,False,,1.0
L00191,W0151,150000,150000,0,False,,1.0
L00131,W0097,344000,344000,0,False,,1.0
L00139,W0105,360264,720528,360264,True,OVERPAID,0.75
L00170,W0133,196000,364000,0,False,,1.0
L00006,W0005,336000,336000,0,False,,1.0
L00011,W0009,225000,225000,0,False,,1.0
L00130,W0096,196000,378000,-196000,True,UNDERPAID,0.75
L00086,W0076,382500,382500,0,False,,1.0
L00178,W0138,315231,292714,-585429,True,UNDERPAID,0.75
L00198,W0158,301000,0,-301000,True,UNDERPAID,0.75
L00022,W0020,357000,357000,0,False,,1.0
L00084,W0074,168000,168000,0,False,,1.0
L00032,W0030,252000,252000,0,False,,1.0
L00153,W0116,312000,312000,-294000,True,UNDERPAID,0.75
L00146,W0109,168000,168000,0,False,,1.0
L00149,W0112,154000,0,-154000,True,UNDERPAID,0.75
L00087,W0077,231000,231000,0,False,,1.0
L00066,W0059,315000,315000,0,False,,1.0
L00075,W0067,306000,306000,0,False,,1.0
L00181,W0140,270198,0,-270198,True,UNDERPAID,0.75
L00120,W0093,210000,662000,0,False,,1.0
L00127,W0095,225000,345000,-225000,True,UNDERPAID,0.75
L00059,W0052,247682,540396,0,False,,1.0
L00050,W0046,294000,594000,300000,True,OVERPAID,0.75
L00195,W0155,315000,364000,49000,True,OVERPAID,0.75
L00171,W0133,168000,364000,0,False,,1.0
L00037,W0034,332500,741250,0,False,,1.0
L00133,W0099,322500,322500,0,False,,1.0
L00101,W0086,270000,634000,0,False,,1.0
L00085,W0075,285000,285000,0,False,,1.0
L00109,W0089,210000,532000,0,False,,1.0
L00097,W0084,331500,715000,0,False,,1.0
L00038,W0035,380000,707000,0,False,,1.0
L00116,W0092,182000,546000,0,False,,1.0
L00049,W0045,252000,252000,0,False,,1.0
L00193,W0153,224000,224000,0,False,,1.0
L00105,W0088,270000,608000,0,False,,1.0
L00161,W0124,318500,318500,-343000,True,UNDERPAID,0.75
L00094,W0082,390000,682500,0,False,,1.0
L00143,W0107,166250,356250,0,False,,1.0
L00111,W0090,187000,637000,0,False,,1.0
L00056,W0050,210000,210000,0,False,,1.0
L00021,W0019,196000,196000,0,False,,1.0
L00018,W0016,367500,367500,0,False,,1.0
L00093,W0082,292500,682500,0,False,,1.0
L00190,W0150,224000,224000,0,False,,1.0
L00096,W0083,338000,675500,0,False,,1.0
L00013,W0011,312000,312000,0,False,,1.0
L00160,W0124,343000,318500,-343000,True,UNDERPAID,0.75
L00051,W0047,337747,720528,1,True,OVERPAID,0.75
L00194,W0154,315000,364000,49000,True,OVERPAID,0.75
L00010,W0008,270000,660000,0,False,,1.0
L00154,W0118,224000,208000,-224000,True,UNDERPAID,0.75
L00103,W0087,331500,685500,0,False,,1.0
L00138,W0104,322500,645000,322500,True,OVERPAID,0.75
L00126,W0095,165000,345000,-225000,True,UNDERPAID,0.75
L00183,W0143,360264,360264,0,False,,1.0
L00147,W0110,180000,180000,0,False,,1.0
L00117,W0092,196000,546000,0,False,,1.0
L00118,W0092,168000,546000,0,False,,1.0
L00042,W0038,126000,126000,0,False,,1.0
L00112,W0090,240000,637000,0,False,,1.0
L00186,W0146,255000,225165,-29835,True,UNDERPAID,0.75
L00044,W0040,315231,315231,0,False,,1.0
L00017,W0015,154000,154000,0,False,,1.0
L00142,W0107,190000,356250,0,False,,1.0
L00079,W0071,408000,408000,0,False,,1.0
L00043,W0039,382500,382500,0,False,,1.0
L00001,W0001,294000,294000,0,False,,1.0
L00168,W0131,331500,496500,-115500,True,UNDERPAID,0.75
L00068,W0061,165000,165000,0,False,,1.0
L00003,W0003,221000,371000,0,False,,1.0
L00029,W0027,247682,247682,0,False,,1.0
L00078,W0070,225000,225000,0,False,,1.0
L00030,W0028,240000,240000,0,False,,1.0
L00182,W0142,315231,315231,0,False,,1.0
L00012,W0010,408000,608000,200000,True,OVERPAID,0.75
L00184,W0144,247682,247682,0,False,,1.0
L00185,W0145,292714,292714,0,False,,1.0
L00177,W0136,270198,585429,0,False,,1.0
L00040,W0036,250250,250250,0,False,,1.0
L00155,W0118,208000,208000,-224000,True,UNDERPAID,0.75
L00180,W0138,270198,292714,-585429,True,UNDERPAID,0.75
L00113,W0091,210000,588000,0,False,,1.0
L00104,W0087,354000,685500,0,False,,1.0
L00173,W0134,168000,364000,0,False,,1.0
L00025,W0023,170000,170000,0,False,,1.0
L00124,W0094,176000,416000,-176000,True,UNDERPAID,0.75
L00019,W0017,238000,238000,0,False,,1.0
L00163,W0125,292714,510231,-97714,True,UNDERPAID,0.75
L00073,W0065,315231,585429,0,False,,1.0
L00122,W0094,240000,416000,-176000,True,UNDERPAID,0.75
L00132,W0098,279500,279500,0,False,,1.0
L00090,W0080,270000,270000,0,False,,1.0
L00134,W0100,236500,236500,0,False,,1.0
L00150,W0114,315000,338000,-315000,True,UNDERPAID,0.75
L00187,W0147,382500,337747,-44753,True,UNDERPAID,0.75
L00152,W0116,294000,312000,-294000,True,UNDERPAID,0.75
L00061,W0054,250250,250250,0,False,,1.0
L00046,W0042,269500,269500,0,False,,1.0
L00197,W0157,315000,0,-315000,True,UNDERPAID,0.75
L00196,W0156,140000,0,-140000,True,UNDERPAID,0.75
L00156,W0120,210000,221000,-210000,True,UNDERPAID,0.75
L00151,W0114,338000,338000,-315000,True,UNDERPAID,0.75
L00148,W0111,176000,0,-176000,True,UNDERPAID,0.75
L00137,W0103,269500,539000,269500,True,OVERPAID,0.75
L00069,W0062,126000,126000,0,False,,1.0
L00062,W0055,337747,337748,1,True,OVERPAID,0.75
L00169,W0131,280500,496500,-115500,True,UNDERPAID,0.75
L00026,W0024,279500,279500,0,False,,1.0
L00041,W0037,336000,336000,0,False,,1.0
L00060,W0053,180132,380132,200000,True,OVERPAID,0.75
L00164,W0127,196000,427000,77000,True,OVERPAID,0.75
L00136,W0102,270198,540396,270198,True,OVERPAID,0.75
L00121,W0093,180000,662000,0,False,,1.0
L00015,W0013,364000,364000,0,False,,1.0
L00176,W0136,315231,585429,0,False,,1.0
L00057,W0051,238000,238000,0,False,,1.0
L00082,W0073,150000,330000,0,False,,1.0
L00007,W0006,292714,292714,0,False,,1.0
L00047,W0043,357000,357000,0,False,,1.0
L00070,W0063,252000,252000,0,False,,1.0
L00100,W0085,416000,686000,0,False,,1.0
L00083,W0073,180000,330000,0,False,,1.0
L00129,W0096,168000,378000,-196000,True,UNDERPAID,0.75
L00145,W0108,157500,337500,0,False,,1.0
L00089,W0079,215000,215000,0,False,,1.0
L00125,W0095,180000,345000,-225000,True,UNDERPAID,0.75
L00167,W0129,270198,517682,-198,True,UNDERPAID,0.75
L00179,W0138,292714,292714,-585429,True,UNDERPAID,0.75
L00092,W0081,472000,880000,0,False,,1.0
L00200,W0160,210000,0,-210000,True,UNDERPAID,0.75
L00005,W0004,442000,442000,0,False,,1.0
L00140,W0106,168000,315000,0,False,,1.0
L00162,W0125,315231,510231,-97714,True,UNDERPAID,0.75
L00064,W0057,202648,202648,0,False,,1.0
L00135,W0101,279500,279500,0,False,,1.0
L00165,W0127,154000,427000,77000,True,OVERPAID,0.75
L00052,W0047,382780,720528,1,True,OVERPAID,0.75
L00108,W0089,168000,532000,0,False,,1.0
L00036,W0034,408750,741250,0,False,,1.0
L00099,W0085,270000,686000,0,False,,1.0
L00192,W0152,315231,315231,0,False,,1.0
L00023,W0021,236500,236500,0,False,,1.0
L00016,W0014,264000,414000,150000,True,OVERPAID,0.75
L00123,W0094,176000,416000,-176000,True,UNDERPAID,0.75
L00141,W0106,147000,315000,0,False,,1.0
L00106,W0088,338000,608000,0,False,,1.0
L00076,W0068,189000,189000,0,False,,1.0
L00166,W0129,247682,517682,-198,True,UNDERPAID,0.75
L00063,W0056,382780,382780,0,False,,1.0
L00188,W0148,176000,176000,0,False,,1.0
L00159,W0122,292714,292714,-315231,True,UNDERPAID,0.75
L00158,W0122,315231,292714,-315231,True,UNDERPAID,0.75
L00009,W0008,390000,660000,0,False,,1.0
L00039,W0035,327000,707000,0,False,,1.0
L00115,W0091,182000,588000,0,False,,1.0
L00072,W0065,270198,585429,0,False,,1.0
L00071,W0064,292500,292500,0,False,,1.0
L00048,W0044,433500,433500,0,False,,1.0
L00055,W0049,387000,666500,0,False,,1.0
L00091,W0081,408000,880000,0,False,,1.0
L00045,W0041,292714,292714,0,False,,1.0
L00110,W0090,210000,637000,0,False,,1.0
L00175,W0135,192000,402000,0,False,,1.0
L00098,W0084,383500,715000,0,False,,1.0
L00008,W0007,255000,255000,0,False,,1.0
L00128,W0096,210000,378000,-196000,True,UNDERPAID,0.75
